USAState,TotalCases,TotalDeaths,TotalTests,Tot_Cases_1M_Pop,Deaths_1M_Pop,Tests_1M_Pop,CFR,ConfirmationRate
District Of Columbia,3528.0,153.0,16533.0,5154.0,224.0,24153.0,0.04336734693877551,0.21339139902014154
Kentucky,3481.0,191.0,42844.0,784.0,43.0,9649.0,0.05486929043378339,0.0812482494631687
Delaware,3442.0,100.0,17379.0,3625.0,105.0,18303.0,0.02905287623474724,0.19805512400023018
Minnesota,3185.0,221.0,53787.0,576.0,40.0,9731.0,0.06938775510204082,0.05921505196422928
Oklahoma,3121.0,188.0,47984.0,797.0,48.0,12247.0,0.06023710349247036,0.06504251417139047
Kansas,2777.0,113.0,23588.0,955.0,39.0,8109.0,0.04069139359020526,0.11772935390876717
Arkansas,2741.0,45.0,35443.0,917.0,15.0,11851.0,0.016417365924844947,0.07733544000225714
New Mexico,2379.0,78.0,46563.0,1137.0,37.0,22253.0,0.03278688524590164,0.05109206880999936
Oregon,2177.0,86.0,45492.0,533.0,21.0,11145.0,0.03950390445567294,0.04785456783610305
Nebraska,2124.0,47.0,18701.0,1115.0,25.0,9818.0,0.022128060263653482,0.11357681407411369
South Dakota,2040.0,10.0,14824.0,2360.0,12.0,17152.0,0.004901960784313725,0.13761467889908258
Idaho,1836.0,54.0,19091.0,1088.0,32.0,11311.0,0.029411764705882353,0.09617097061442564
New Hampshire,1720.0,53.0,17727.0,1280.0,39.0,13193.0,0.030813953488372094,0.09702713375077565
West Virginia,988.0,32.0,29811.0,540.0,17.0,16299.0,0.032388663967611336,0.0331421287444232
Maine,965.0,47.0,17721.0,724.0,35.0,13296.0,0.04870466321243523,0.05445516618700976
Vermont,827.0,44.0,14310.0,1323.0,70.0,22897.0,0.053204353083434096,0.05779175401816911
North Dakota,748.0,15.0,17449.0,994.0,20.0,23197.0,0.020053475935828877,0.0428677861195484
Hawaii,596.0,12.0,26362.0,419.0,8.0,18538.0,0.020134228187919462,0.02260829982550641
Wyoming,473.0,7.0,7623.0,813.0,12.0,13102.0,0.014799154334038054,0.06204906204906205
Montana,444.0,14.0,12127.0,426.0,13.0,11641.0,0.03153153153153153,0.036612517522882825
Alaska,339.0,9.0,11942.0,459.0,12.0,16170.0,0.02654867256637168,0.028387204823312678
Puerto Rico,1416.0,69.0,11633.0,418.0,20.0,3435.0,0.048728813559322036,0.12172268546376687
Total:,915538.0,51692.0,4975291.0,2766.0,156.0,15031.0,0.056460791359834325,0.18401697508748735
